Fecha,Informacion,Hora
2024-02-13,"Hemos creado dos programas para organizar nuestra vida como desarollador experimental o des-programador, como es que me gusta llamarme. El primero es ""Data Frame de Pensamientos"" y el segundo es ""Diario de Desarollador"" el primero es algo más personal para anotar pensamientos no solo sobre desarollo sino sobre arte y otras cosas. El segundo si es para organizar los proyecto que voy haciendo y los que haré. De hecho que esto no nos ordena ni organiza al %100 pero de todas maneras sirve para plantearnos un camino y no ser tan random.",12:06:54
2024-02-13,"Hemos creado un nuevo GPT ""Maestro de Programación"" para estudiar fundamentos y lógica de programación.",12:14:38
2024-02-13,"El maestro de progrmación me está ayudando bastante al igual que los programas para organizar mi trabajo y escribir pensamientos, ideas, etc.",14:07:31
2024-02-13,Al estudiar se hace un buen uso del GPT-4 tanto asi que nos limitan por usarlo mucho.,14:10:39
2024-02-13,"Ya editamos el trabajo del compa que hace Bisuteria,estamos esperando que confirme para enviar el png del logo.",14:39:22
2024-02-13,Como no puedo usar GPT-4 hasta las 15 horas estoy leyendo un poco de referencias y experimentando con ellas en vs code pero ya falta poco para recuperar el uso de GPT-4.,14:47:38
2024-02-13,"Ya hace un rato recuperamos el uso de GPT-4 estamos practicando al de variables y gestión de usuarios, y hace rato genere algunas imágenes con MJ.",15:27:38
2024-02-13,"Comenzamos a experimentar errores con Chat-GPT, hemos tenido algunos avisos como este ""We ran into an issue while signing you in, please take a break and try again soon.""",15:47:58
2024-02-13,El error con Chat-GPT se soluciono...,15:49:55
2024-02-13,"De nuevo nos cortaron GPT-4 y parece que esta teniendo errores fatales :( , por ahora estamos interactuando con la API de Open AI mientras seguimos practicando y estudiando Variables y Dataframes...",17:14:24
2024-02-13,Claude 2.1 de Anthropic no me gusta mucho para temas creativos se hace de rogar para generar por eso prefiero GPT de OpenAI en este caso...,17:17:09
2024-02-13,Es posible que esta semana mejore la experiencia de UI de Netsat AI bot...,17:25:01
2024-02-13,Hace un rato recuperamos el uso de GPT-4 en Chat-GPT y hemos creado un GPT especialista en abordar proyectos que uen la API de OpenAI con Python.,18:04:05
2024-02-13,"Como primera prueba del Nuevo GPT especialista en Open AI y Python, le hemos mandado a crear un generador de horror cyberpsy, el cual funciona correctamente.",18:11:50
2024-02-13,"Bueno ya me voy de la casa de Netsat srl camino a la casa de Suyorki-Klera, en el camino fumaremos en el desierto del pensamiento. Para mañana podriamos ver temas como encriptación, UTF-8 y ASCII.",18:22:53
2024-02-14,Hemos llegado hace um momento y ahora procedemos a actualizar el inventario.,12:40:35
2024-02-14,El inventario ya está actualizado ahora procedemos a seguir estudiando lógica de programación.,13:06:29
2024-02-14,"A pesar de esta medio raro seguimo aquí en esto, sin saber muy bien el porque...",13:18:34
2024-02-14,Estuvimos trabajando arduamente con GPT-4 pero ya nos cortaron el uso hasta las 15:56 pm.,15:34:35
2024-02-14,Ya recuperamos el uso de GPT-4 estabamos trabajando árbol de búsqueda binaria para pensamientos en JSON.,16:03:07
2024-02-14,"Bueno ya nos vamos pero hemos trabajado basante con GPT-4 tanto asi que nos bloquearon otra vez, hemos estudiado árboles de búsqueda binaria para gestión de pensamientos de paso que practicabamos programación orientada a objetos. No hemos grabado nada ni avanzandnada más, solo actualizamos nuevos items en el inventario y más nada. Tal vez mañana grabamos algo y avanzamos otra cosa o tal vez solo seguimos estudiando.",18:43:13
2024-02-15,Hemos llegado hace màs de media hora pero tuvimos que revisar unos auto-radio  y actualizar el inventario ahora prprocedemos a seguir estudiando lògica de programaciòn.,12:26:43
2024-02-15,Hemos creado un repositorio en Github sobre el gestor de pensamientos con àrbol de bùsqueda binaria.,12:45:26
2024-02-15,Ahora como que medio ganas de no hacer nada o no saber que hacer...,12:56:36
2024-02-15,Aprendimos un poco sobre grafos y sus usos.,13:03:44
2024-02-15,Estamos intentando mejorar la interfaz de Netsat AI bot pero tenemos algunos problemas...,14:38:57
2024-02-15,Hicimos algunas mejoras en la interfaz de Netsat AI bot pero aùn falta.Ya nos vamos.,19:05:28
2024-02-16,"Acabamos de llegar hace un momento, Open AI lanza noticias sobre un modelo  de texto a video pero aún no dejan probarlo y Bard ahora es Gemini, vamos a agregar algo al inventario y proceder a solucionar el problema en la interfaz de Netsat AI bot.",12:02:45
2024-02-16,Solucionamos los problemas de Netsat AI bot ahora procedemos a estudiar Streamlit,12:57:52
2024-02-16,El estudio de Streamlit se dio completando la primera etapa de Netsat AI bot...,14:22:47
2024-02-16,Ahora nos centramos un poco en profundizar en fuciones de Streamlit...,14:25:23
2024-02-16,Estamos haciendo un VBlog para compartir algunas herramientas y reflexiones que me están ayudando en mi vida como desarollador.,14:41:39
2024-02-16,Creo que sería importante hacer aplicaciones de Streamlit que vayan fusionando sus funciones de manera lógica y estruturada.,14:43:01
2024-02-16,Es importante revisar la recursividad en el código del gestor de pensamientos.,15:54:46
